GEOID,hous_c,li_c,nw_c,tot199_c,totnw_c,univ_c
42029304404,285.5619795687553,0.1125973248153324,0.1778798163306049,564,891,5009
42029304405,344.18669749268355,0.037783775202413085,0.10779488807747262,238,679,6299
42029304406,375.0558585239478,0.04230066950699939,0.10559951308581862,139,347,3286
42029304501,391.15763992642275,0.027926027057217327,0.27467757936507936,225,2215,8057
42029304502,332.79980235723167,0.04011838211114765,0.055902663597500825,122,170,3041
42029304600,356.8190342835756,0.13120981881940386,0.0524365916215446,449,184,3422
42029304900,225.51389975289555,0.2737430167597765,0.04987596291944118,2009,382,7339
42029305000,193.66617742092845,0.2313386798272671,0.08041743400859423,375,131,1621
42029305101,207.89979634024334,0.16185106882781303,0.12544045102184637,689,534,4257
42029305102,210.65756000586063,0.24390243902439024,0.1616118769883351,1150,762,4715
42029305300,190.81945363706546,0.18270079435127978,0.3147985989492119,1242,2157,6798
42029305400,144.56019214929202,0.5347470618293306,0.6780699514934899,2093,2656,3914
42029305500,119.82927927698236,0.5869864902122967,0.8282326992004412,2129,3004,3627
42029305600,98.92365148923861,0.6694032207136091,0.8575939374802652,2120,2716,3167
42029305700,134.6856190240173,0.45211389128559104,0.5668679896462467,1048,1314,2318
42029306000,242.416322219582,0.1498778169970133,0.23119663911099064,1104,1706,7366
42029306300,181.30072098477365,0.22034494896163323,0.34093300596282006,626,972,2841
42029306501,376.8350608888622,0.05466237942122187,0.09990813045475425,238,435,4354
42029306503,256.2051405476683,0.3377130681818182,0.6629971590909091,951,1867,2816
42029306504,384.9304316492225,0.23505892255892255,0.30723905723905726,1117,1460,4752
42029306600,318.9220239108996,0.07140580172138987,0.05217944638880051,224,164,3137
42029306700,310.1149722045736,0.0932475884244373,0.056729444189251264,406,247,4354
42029306800,270.7056398217204,0.19069767441860466,0.13008130081300814,328,224,1720
42029306900,321.85770781300835,0.086948822383566493,0.14839737913936604,491,838,5647
42029307000,286.1847003964753,0.15898311515841396,0.152071117836202,838,804,5271
42029307100,277.91140939962355,0.13126491646778043,0.12171837708830549,330,306,2514
42029307200,222.66717596903257,0.24979724249797242,0.13365539452495975,308,166,1233
42029307300,195.62330002233426,0.2486698403808457,0.1582189862783534,888,565,3571
42029307400,171.15926750476177,0.29535274356103025,0.26473859844271413,1055,952,3572
42029307700,204.78619220164322,0.3573667711598746,0.10314075222954634,912,266,2552
42029307800,249.35521144274804,0.22321067529316618,0.05984634047715325,552,148,2473
42029307900,214.5718052086722,0.18936108701936977,0.40192864030858244,655,2084,3459
42029308000,192.59865600197983,0.4254797876684361,0.4000789110278161,2084,2028,4898
42029308101,269.6381184027718,0.13658322353974528,0.04084321475625823,622,186,4554
